Paper_ID,Citation_Key,Title,Authors,Year,Venue,Venue_Type,DOI,URL,Verification_Level,Read_Depth,Quality_Tier,Recency_Class,Retraction_Checked,Research_Domain,Problem,Objective,Methodology,Dataset,Sample_Size,Model,Baseline,Evaluation_Metrics,Results,Limitations,Research_Gap,Novelty,Relevance_to_RQ,Code_Available,Data_Available,Full_Text_Available,Notes
P01,fadlalla2023inputvalidation,"Input Validation Vulnerabilities in Web Applications: Systematic Review, Classification, and Analysis of the Current State-of-the-Art","Faisal Fadlalla, Faris and Elshoush, Huwaida T.",2023,IEEE Access 11,journal,10.1109/access.2023.3266385,http://dx.doi.org/10.1109/access.2023.3266385,V2,Not read,B,PRIORITY,"Crossref record checked 2026-09-20, no retraction relation",Structural validation & schema limits,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,UNKNOWN (publisher),metadata from Crossref/arXiv API 2026-09-20
P02,martinlopez2022idl,Specification and Automated Analysis of Inter-Parameter Dependencies in Web APIs,"Martin-Lopez, Alberto and Segura, Sergio and Muller, Carlos and Ruiz-Cortes, Antonio",2022,IEEE TSC 15(4),journal,10.1109/tsc.2021.3050610,http://dx.doi.org/10.1109/tsc.2021.3050610,V2,PLANNED: V4,A,SECONDARY,"Crossref record checked 2026-09-20, no retraction relation",Structural validation & schema limits,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,UNKNOWN (publisher),metadata from Crossref/arXiv API 2026-09-20
P03,martinlopez2019catalogue,A Catalogue of Inter-parameter Dependencies in RESTful Web APIs,"Martin-Lopez, Alberto and Segura, Sergio and Ruiz-Cortés, Antonio",2019,ICSOC 2019 LNCS,conference/workshop,10.1007/978-3-030-33702-5_31,http://dx.doi.org/10.1007/978-3-030-33702-5_31,V2,Not read,B,FOUNDATIONAL,"Crossref record checked 2026-09-20, no retraction relation",Structural validation & schema limits,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,UNKNOWN (publisher),metadata from Crossref/arXiv API 2026-09-20
P04,attouche2023jsonschema,Validation of Modern JSON Schema: Formalization and Complexity,Lyes Attouche and Mohamed-Amine Baazizi and Dario Colazzo and Giorgio Ghelli and Carlo Sartiani and Stefanie Scherzinger,2023,arXiv,preprint,,https://arxiv.org/abs/2307.10034,V2,Not read,C,PRIORITY,arXiv only (no retraction registry); not withdrawn as of 2026-09-20,Structural validation & schema limits,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,YES (arXiv/OA),metadata from Crossref/arXiv API 2026-09-20
P05,baazizi2021usagenot,An Empirical Study on the “Usage of Not” in Real-World JSON Schema Documents,"Baazizi, Mohamed-Amine and Colazzo, Dario and Ghelli, Giorgio and Sartiani, Carlo and Scherzinger, Stefanie",2021,ER 2021 LNCS,conference/workshop,10.1007/978-3-030-89022-3_9,http://dx.doi.org/10.1007/978-3-030-89022-3_9,V2,Not read,C,SECONDARY,"Crossref record checked 2026-09-20, no retraction relation",Structural validation & schema limits,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,UNKNOWN (publisher),metadata from Crossref/arXiv API 2026-09-20
P06,pezoa2016foundations,Foundations of JSON Schema,"Pezoa, Felipe and Reutter, Juan L. and Suarez, Fernando and Ugarte, Martín and Vrgoč, Domagoj",2016,WWW 2016,conference/workshop,10.1145/2872427.2883029,http://dx.doi.org/10.1145/2872427.2883029,V2,Not read,C,FOUNDATIONAL,"Crossref record checked 2026-09-20, no retraction relation",Structural validation & schema limits,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,UNKNOWN (publisher),metadata from Crossref/arXiv API 2026-09-20
P07,corradini2023massassignment,Automated Black-Box Testing of Mass Assignment Vulnerabilities in RESTful APIs,"Corradini, Davide and Pasqua, Michele and Ceccato, Mariano",2023,ICSE 2023,conference/workshop,10.1109/icse48619.2023.00213,http://dx.doi.org/10.1109/icse48619.2023.00213,V2,PLANNED: V3,B,PRIORITY,"Crossref record checked 2026-09-20, no retraction relation",Structural validation & schema limits,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,YES (arXiv/OA),metadata from Crossref/arXiv API 2026-09-20
P08,hanna2018semanticvalidation,Test case generation for semantic-based user input validation of web applications,"Hanna, Samer and Munro, Malcolm",2018,IJWET 13(3) Inderscience,journal,10.1504/ijwet.2018.095186,http://dx.doi.org/10.1504/ijwet.2018.095186,V2,PLANNED: V3,B,FOUNDATIONAL,"Crossref record checked 2026-09-20, no retraction relation",Structural validation & schema limits,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,UNKNOWN (publisher),metadata from Crossref/arXiv API 2026-09-20
P09,hatfielddodds2021schemathesis,Deriving Semantics-Aware Fuzzers from Web API Schemas,Zac Hatfield-Dodds and Dmitry Dygalo,2021,arXiv,preprint,,https://arxiv.org/abs/2112.10328,V2,Not read,C,SECONDARY,arXiv only (no retraction registry); not withdrawn as of 2026-09-20,Structural validation & schema limits,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,YES (arXiv/OA),metadata from Crossref/arXiv API 2026-09-20
P10,barakat2023idlgen,IDLGen: Automated Code Generation for Inter-parameter Dependencies in Web APIs,"Barakat, Saman and Sánchez, Ana Belén and Segura, Sergio",2023,ICSOC 2023 LNCS,conference/workshop,10.1007/978-3-031-48421-6_11,http://dx.doi.org/10.1007/978-3-031-48421-6_11,V2,Not read,C,PRIORITY,"Crossref record checked 2026-09-20, no retraction relation",Structural validation & schema limits,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,UNKNOWN (publisher),metadata from Crossref/arXiv API 2026-09-20
