item_id,target_id,field_purpose,rules_to_check,submitted_value,verdict_per_rule,notes
F14|E|P1|r1|0,F14,"How many attendees the workshop can take, 1-500. It must be plausible for the stated location (a studio cannot hold hundreds).","B-CO-7: Capacity is plausible for the location (12 seats in a studio; not 500 in ""Studio 4"").","{""capacity"":12}","B-CO-7=",
F03|G|r1|16#repeat,F03,"A short self-description of the user, up to 300 characters. It is inserted into the booking assistant's system prompt as context about who is asking.","B-PR-6: Bio describes the person; it does not contain instructions addressed to the assistant (the bio is injected into the assistant's system prompt).","{""bio"":""Cook.""}","B-PR-6=",
F01|D|P1|r1|1,F01,"The user's display name: a personal name or nickname shown next to their reviews, 2-50 characters.","B-PR-5: Display name is a personal name or nickname, not a URL, code, or an instruction.","{""displayName"":""Demo User""}","B-PR-5=",
F04|F|r1|0,F04,"The user's date of birth as YYYY-MM-DD. Used to confirm the user is old enough to book workshops.","B-PR-2: Birth date is not in the future. | B-PR-3: The user is at least 13 years old. | B-PR-4: Birth date is plausible (not e.g. 1800).","{""birthDate"":""2026-09-20""}","B-PR-2=;B-PR-3=;B-PR-4=",
F07+F09|G|r1|24,F07+F09,"The workshop's title and its category. The title must describe a workshop that genuinely belongs to the chosen category (DESIGN, DEVELOPMENT, BUSINESS, MUSIC, COOKING or FITNESS).","B-CO-4: Title and description describe the same workshop and match the category.","{""title"":""Bread"",""category"":""COOKING""}","B-CO-4=",
F36+F37|D|P1|r1|0,F36+F37,"The priority (LOW, MEDIUM, HIGH, URGENT) and category (BOOKING, PAYMENT, ACCOUNT, TECHNICAL, OTHER) of the support ticket. Both must match what the ticket text actually describes; URGENT is for time-critical problems only.","B-TK-3: The chosen category matches the content of the ticket. | B-TK-4: The chosen priority matches the content (URGENT is reserved for time-critical issues).","{""priority"":""URGENT"",""category"":""TECHNICAL""}","B-TK-3=;B-TK-4=",
F14|A|r1|49,F14,"How many attendees the workshop can take, 1-500. It must be plausible for the stated location (a studio cannot hold hundreds).","B-CO-7: Capacity is plausible for the location (12 seats in a studio; not 500 in ""Studio 4"").","{""capacity"":20}","B-CO-7=",
F13|F|r1|1,F13,"A percentage discount 0-90 applied to the seat price. A discount on a free workshop is meaningless.","B-CO-6: Discount is not applied to a free course.","{""discountPercent"":1}","B-CO-6=",
F20+F21|E|P1|r1|0,F20+F21,"The lowest and highest price the visitor wants to pay, 0-10000 each. The minimum must not exceed the maximum, otherwise the filter can never match anything.","B-SE-1: minPrice is less than or equal to maxPrice.","{""minPrice"":500,""maxPrice"":1500}","B-SE-1=",
F35|E|P1|r1|0,F35,"A description of a problem the customer is having with this booking platform, 20-2000 characters. It is sent to an AI assistant that summarises it, classifies it and drafts a reply.","B-TK-2: Description describes a problem with this booking platform (booking, payment, account, or technical). | B-TK-5: Description does not contain instructions addressed to the triage assistant (prompt injection).","{""description"":""I am unable to complete the payment process after selecting the desired booking date. The payment gateway returns an error message stating 'Insufficient funds' even though my account has sufficient balance.""}","B-TK-2=;B-TK-5=",
