target,category,decided,svsi,rate,llm_decided,llm_svsi,llm_rate
F03,aifacing,93,64,0.6881720430107527,42,36,0.8571428571428571
F35,aifacing,82,6,0.07317073170731707,37,1,0.02702702702702703
F39,aifacing,85,44,0.5176470588235295,45,24,0.5333333333333333
F07+F09,crossfield,111,32,0.2882882882882883,63,5,0.07936507936507936
F15+F16,crossfield,181,160,0.8839779005524862,132,131,0.9924242424242424
F20+F21,crossfield,203,32,0.15763546798029557,152,14,0.09210526315789473
F31+F33,crossfield,105,46,0.4380952380952381,54,16,0.2962962962962963
F12,financial,109,19,0.1743119266055046,58,11,0.1896551724137931
F13,financial,185,0,0.0,134,0,0.0
F14,financial,117,40,0.3418803418803419,66,14,0.21212121212121213
F25,financial,72,0,0.0,32,0,0.0
F28,financial,13,3,0.23076923076923078,0,0,
F29,freetext,69,35,0.5072463768115942,28,9,0.32142857142857145
F18,search,95,30,0.3157894736842105,46,15,0.32608695652173914
F01,simple,92,35,0.3804347826086957,42,5,0.11904761904761904
F04,simple,157,33,0.21019108280254778,106,21,0.19811320754716982
F36+F37,structured,107,61,0.5700934579439252,57,36,0.631578947368421
