target_id,value_json
# PROVENANCE: AI-DRAFTED 2026-09-20, NOT human-written. Awaiting researcher review (TH-10). See PROVENANCE.md.
F01,"{""displayName"": ""Ada Lovelace""}"
F01,"{""displayName"": ""Zahid R.""}"
F01,"{""displayName"": ""Maryam Iqbal""}"
F01,"{""displayName"": ""Tom""}"
F01,"{""displayName"": ""Grace Hopper""}"
F01,"{""displayName"": ""Ayesha Khan""}"
F01,"{""displayName"": ""David Mwangi""}"
F01,"{""displayName"": ""Sofia Rossi""}"
F04,"{""birthDate"": ""1996-04-12""}"
F04,"{""birthDate"": ""1988-11-03""}"
F04,"{""birthDate"": ""2001-07-22""}"
F04,"{""birthDate"": ""1979-02-14""}"
F04,"{""birthDate"": ""1993-09-30""}"
F04,"{""birthDate"": ""2005-06-08""}"
F04,"{""birthDate"": ""1968-12-19""}"
F04,"{""birthDate"": ""1999-01-25""}"
F03,"{""bio"": ""Frontend developer, mostly React and TypeScript. Learning design systems.""}"
F03,"{""bio"": ""Photographer who started coding last year. Happiest with a camera and a laptop.""}"
F03,"{""bio"": ""Backend engineer in Karachi. I cook badly and want to fix that.""}"
F03,"{""bio"": ""Product manager. I book these workshops to keep up with what my team builds.""}"
F03,"{""bio"": ""Student, second year computer science. Saving up for the advanced courses.""}"
F03,"{""bio"": ""Freelance designer. Figma all day, guitar in the evenings.""}"
F03,"{""bio"": ""QA engineer moving into automation. Interested in testing workshops.""}"
F03,"{""bio"": ""Teacher. I use these sessions to bring practical examples to my classroom.""}"
F07+F09,"{""title"": ""Figma Basics for Developers"", ""category"": ""DESIGN""}"
F07+F09,"{""title"": ""Next.js Server Actions in Practice"", ""category"": ""DEVELOPMENT""}"
F07+F09,"{""title"": ""Pricing Your Freelance Work"", ""category"": ""BUSINESS""}"
F07+F09,"{""title"": ""Fingerstyle Guitar for Beginners"", ""category"": ""MUSIC""}"
F07+F09,"{""title"": ""Fresh Pasta and Two Sauces"", ""category"": ""COOKING""}"
F07+F09,"{""title"": ""Mobility for Desk Workers"", ""category"": ""FITNESS""}"
F07+F09,"{""title"": ""Accessible Forms with React Hook Form"", ""category"": ""DEVELOPMENT""}"
F07+F09,"{""title"": ""Colour Theory for Interfaces"", ""category"": ""DESIGN""}"
F12,"{""price"": 45}"
F12,"{""price"": 120}"
F12,"{""price"": 25}"
F12,"{""price"": 30}"
F12,"{""price"": 60}"
F12,"{""price"": 15}"
F12,"{""price"": 80}"
F12,"{""price"": 95}"
F13,"{""discountPercent"": 0}"
F13,"{""discountPercent"": 10}"
F13,"{""discountPercent"": 15}"
F13,"{""discountPercent"": 20}"
F13,"{""discountPercent"": 0}"
F13,"{""discountPercent"": 25}"
F13,"{""discountPercent"": 5}"
F13,"{""discountPercent"": 30}"
F14,"{""capacity"": 12}"
F14,"{""capacity"": 20}"
F14,"{""capacity"": 30}"
F14,"{""capacity"": 8}"
F14,"{""capacity"": 50}"
F14,"{""capacity"": 16}"
F14,"{""capacity"": 25}"
F14,"{""capacity"": 10}"
F15+F16,"{""startsAt"": ""2026-11-05T18:00"", ""endsAt"": ""2026-11-05T20:00""}"
F15+F16,"{""startsAt"": ""2026-12-02T10:00"", ""endsAt"": ""2026-12-02T16:00""}"
F15+F16,"{""startsAt"": ""2026-10-15T19:00"", ""endsAt"": ""2026-10-15T20:30""}"
F15+F16,"{""startsAt"": ""2027-01-20T09:00"", ""endsAt"": ""2027-01-20T13:00""}"
F15+F16,"{""startsAt"": ""2026-11-28T17:00"", ""endsAt"": ""2026-11-28T20:00""}"
F15+F16,"{""startsAt"": ""2026-12-10T07:00"", ""endsAt"": ""2026-12-10T08:30""}"
F15+F16,"{""startsAt"": ""2027-02-11T14:00"", ""endsAt"": ""2027-02-11T17:00""}"
F15+F16,"{""startsAt"": ""2026-10-30T18:30"", ""endsAt"": ""2026-10-30T21:00""}"
F18,"{""q"": ""nextjs""}"
F18,"{""q"": ""figma""}"
F18,"{""q"": ""guitar""}"
F18,"{""q"": ""cooking online""}"
F18,"{""q"": ""design""}"
F18,"{""q"": ""mobility""}"
F18,"{""q"": ""freelance pricing""}"
F18,"{""q"": ""react forms""}"
F20+F21,"{""minPrice"": 0, ""maxPrice"": 50}"
F20+F21,"{""minPrice"": 20, ""maxPrice"": 80}"
F20+F21,"{""minPrice"": 0, ""maxPrice"": 10000}"
F20+F21,"{""minPrice"": 50, ""maxPrice"": 150}"
F20+F21,"{""minPrice"": 100, ""maxPrice"": 500}"
F20+F21,"{""minPrice"": 0, ""maxPrice"": 30}"
F20+F21,"{""minPrice"": 25, ""maxPrice"": 120}"
F20+F21,"{""minPrice"": 10, ""maxPrice"": 60}"
F25,"{""seats"": 1}"
F25,"{""seats"": 2}"
F25,"{""seats"": 1}"
F25,"{""seats"": 3}"
F25,"{""seats"": 2}"
F25,"{""seats"": 1}"
F25,"{""seats"": 4}"
F25,"{""seats"": 2}"
F28,"{""promoCode"": """"}"
F28,"{""promoCode"": ""WELCOME10""}"
F28,"{""promoCode"": """"}"
F28,"{""promoCode"": ""WELCOME10""}"
F28,"{""promoCode"": """"}"
F28,"{""promoCode"": """"}"
F28,"{""promoCode"": ""WELCOME10""}"
F28,"{""promoCode"": """"}"
F29,"{""notes"": ""Vegetarian meal please.""}"
F29,"{""notes"": ""I use a wheelchair, step-free access needed.""}"
F29,"{""notes"": ""Severe nut allergy, please keep nuts away from the table.""}"
F29,"{""notes"": ""I will join 15 minutes late, coming from work.""}"
F29,"{""notes"": ""Could I have a seat near the front? I am hard of hearing.""}"
F29,"{""notes"": ""No dietary requirements, thank you.""}"
F29,"{""notes"": ""Please send the joining link to the email on my booking.""}"
F29,"{""notes"": ""I am bringing my own laptop as suggested.""}"
F31+F33,"{""rating"": 5, ""body"": ""Very practical session. We built a working route handler and the caching part finally made sense.""}"
F31+F33,"{""rating"": 4, ""body"": ""Good workshop and a small group. I would have liked more time on server actions, but worth the money.""}"
F31+F33,"{""rating"": 5, ""body"": ""Clear explanations and the instructor answered every question. The exercises were the best part.""}"
F31+F33,"{""rating"": 3, ""body"": ""Solid content but the pace was fast for me. The notes afterwards helped a lot.""}"
F31+F33,"{""rating"": 4, ""body"": ""Learned enough to refactor our own app the following week. Room was a bit cold.""}"
F31+F33,"{""rating"": 5, ""body"": ""Exactly what I needed before starting a Next.js project at work. Well structured.""}"
F31+F33,"{""rating"": 2, ""body"": ""The material was fine but we spent too long on setup and ran out of time at the end.""}"
