Claim_ID,Section,Claim_Text,Type,Citations_or_Result_ID,Evidence_Location,Strength,Status
CL-001,I Introduction,"Runtime schema validation checks type, presence, length, pattern, range, enumeration and format but cannot express constraints that depend on the application's purpose.",background,pezoa2016foundations; attouche2023jsonschema; martinlopez2022idl,Formal semantics of JSON Schema; IDL paper's statement that OpenAPI provides no support for inter-parameter dependencies,DIRECT,OPEN
CL-002,I Introduction,"Inputs that pass validity checks can still violate application intent, a class recognised since 2010.",background,felmetsger2010waler,§1 pp.1-2 and §2 p.3 (definition of logic vulnerabilities); §5.1 p.15,DIRECT,OPEN
CL-003,I Introduction,"For LLM outputs, near-complete schema validity coexists with substantially lower semantic correctness.",background,li2026orderbench; ray2026constrainttax; singh2026sob; sigdel2026schemafirst; wrenn2026enterprise,"P33 Table 1 p.4; P34 Tables 3,6 pp.4-5; P35 §6.2 p.7; P36 §7 p.8; P37 Tables III/V pp.6,8",DIRECT,OPEN
CL-004,I Introduction,Web testing research operationalises the validity of generated inputs as acceptance by the application.,background,li2026webformtest; alian2024formnexus; tigulla2026robustness,P20 §3.5 p.14 (SSR definition); P21 Def. 2 §3.2.2 p.7; P26 §VII-C p.10,DIRECT,OPEN
CL-005,I Introduction,The authors of the largest LLM web-form study concede their metric admits semantically invalid inputs and defer their validation to future work.,background,li2026webformtest,§5.4 p.29 (verbatim admission),DIRECT,OPEN
CL-006,I Introduction,A base 8B model produces domain-coherent API values under a quarter of the time despite type conformance being guaranteed by the harness.,background,kim2025llamaresttest,Table 3 p.12 (22.94% average); §3.4 p.10 (type conformance),DIRECT,OPEN
CL-007,I Introduction,LLM-driven input generation outperforms rule-based and random generation at passing form validation.,background,alian2024formnexus,Fig. 7 p.10 (83% vs 57% vs 23% vs 3%),DIRECT,OPEN
CL-008,I Introduction,No prior study includes a human-written input condition alongside random and rule-based conditions with a semantic outcome.,novelty,"search of IEEE Xplore/ACM DL metadata, arXiv, Semantic Scholar, Crossref to 2026-09-20 (02_SEARCH_STRATEGY.md; 05_RESEARCH_GAP.md D1-D5; 06_NOVELTY.md K1-K6)",20 reading notes record RQ3 as NONE or PARTIAL; P20 §5.4 p.28 states no random/rule baselines,INDIRECT,"OPEN — hedged as 'to our knowledge, based on a search of ... up to [date]'"
CL-009,III Related Work,Cost evidence for input-side detectors is thin and GPU-bound; one detector presented as deployable reports no timing at all.,background,jacob2025promptshield; ahmed2026reflexguard; saleem2026layered; wang2026sokguardrails; maiorano2026tradeoffs,P54 note (grep-confirmed absence of timing); P61 Table VI p.9 (T4); P64 Table 10 p.15 (A100); P60 Fig. 2a p.12; P63 Table 3 p.8 (hardware unstated),DIRECT,OPEN
CL-010,III Related Work,"Guardrail evaluations routinely overlook inference latency, resource consumption and utility.",background,wang2026sokguardrails; ahmed2026reflexguard,P60 §1 p.1 (verbatim); P61 §II p.2,DIRECT,OPEN
CL-011,III Related Work,An ordinary free-text form field can carry content that later drives an unintended database write affecting another user.,background,pedro2025p2sql,Finding 3 §3.2.3 p.6; Listing 5 p.7,DIRECT,OPEN
CL-012,III Related Work,Surface quality checks such as perplexity do not distinguish compromised from clean text.,background,liu2024formalizing,§6.3 p.1842 (verbatim),DIRECT,OPEN
CL-013,V Methodology,The testbed's rule reference contains 43 business rules of which 5 are enforced in code.,background (artefact),17_CODE/testbed/BUSINESS_RULES.md @ 62a7267,summary table of the frozen file,DIRECT,OPEN
