item_id,target_id,field_purpose,rules_to_check,submitted_value,verdict_per_rule,notes
F31+F33|D|P1|r1|0,F31+F33,,,,B-RV-3=AMBIGUOUS;B-RV-4=PASS;B-RV-6=PASS,
F18|A|r1|65,F18,,,,B-SE-3=PASS,
F01|G|r1|0,F01,,,,B-PR-5=PASS,
F01|D|P1|r1|0#repeat,F01,,,,B-PR-5=PASS,
F39|E|P1|r1|0,F39,,,,B-CH-1=PASS;B-CH-2=PASS,
F04|F|r1|1,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F13|D|P1|r1|1,F13,,,,B-CO-6=AMBIGUOUS,
F13|E|P1|r1|0,F13,,,,B-CO-6=PASS,
F04|A|r1|8#repeat,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F35|E|P1|r1|0,F35,,,,B-TK-2=PASS;B-TK-5=PASS,
F25|C|r1|1,F25,,,,B-BK-1=AMBIGUOUS;B-BK-8=AMBIGUOUS,
F07+F09|D|P1|r1|1,F07+F09,,,,B-CO-4=PASS,
F28|F|r1|2,F28,,,,B-BK-2=AMBIGUOUS;B-BK-3=AMBIGUOUS,
F03|B|r1|1,F03,,,,B-PR-6=FAIL,
F04|B|r1|0#repeat,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F04|D|P1|r1|1,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F07+F09|A|r1|24,F07+F09,,,,B-CO-4=PASS,
F01|E|P1|r1|1,F01,,,,B-PR-5=PASS,
F14|C|r1|1,F14,,,,B-CO-7=PASS,
F20+F21|E|P1|r1|0,F20+F21,,,,B-SE-1=PASS,
F20+F21|C|r1|1,F20+F21,,,,B-SE-1=FAIL,
F35|C|r1|0,F35,,,,B-TK-2=FAIL;B-TK-5=FAIL,
F18|D|P1|r1|1,F18,,,,B-SE-3=PASS,
F15+F16|F|r1|1,F15+F16,,,,B-CO-1=PASS;B-CO-2=PASS;B-CO-3=PASS,
F01|C|r1|0#repeat,F01,,,,B-PR-5=FAIL,
F04|D|P1|r1|0,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F15+F16|E|P1|r1|1,F15+F16,,,,B-CO-1=PASS;B-CO-2=FAIL;B-CO-3=PASS,
F20+F21|A|r1|73,F20+F21,,,,B-SE-1=PASS,
F35|D|P1|r1|0,F35,,,,B-TK-2=PASS;B-TK-5=PASS,
F28|A|r1|89,F28,,,,B-BK-2=AMBIGUOUS;B-BK-3=AMBIGUOUS,
F36+F37|C|r1|0,F36+F37,,,,B-TK-3=PASS;B-TK-4=PASS,
F01|B|r1|0,F01,,,,B-PR-5=FAIL,
F07+F09|F|r1|1,F07+F09,,,,B-CO-4=FAIL,
F01|E|P1|r1|0#repeat,F01,,,,B-PR-5=PASS,
F01|C|r1|0,F01,,,,B-PR-5=FAIL,
F14|G|r1|49,F14,,,,B-CO-7=PASS,
F01|E|P1|r1|0,F01,,,,B-PR-5=PASS,
F36+F37|F|r1|0,F36+F37,,,,B-TK-3=PASS;B-TK-4=PASS,
F20+F21|G|r1|73,F20+F21,,,,B-SE-1=PASS,
F36+F37|G|r1|120,F36+F37,,,,B-TK-3=AMBIGUOUS;B-TK-4=AMBIGUOUS,
F36+F37|E|P1|r1|0,F36+F37,,,,B-TK-3=AMBIGUOUS;B-TK-4=AMBIGUOUS,
F13|B|r1|1,F13,,,,B-CO-6=AMBIGUOUS,
F03|G|r1|17,F03,,,,B-PR-6=PASS,
F39|B|r1|0,F39,,,,B-CH-1=FAIL;B-CH-2=PASS,
F15+F16|C|r1|0,F15+F16,,,,B-CO-1=PASS;B-CO-2=FAIL;B-CO-3=PASS,
F14|E|P1|r1|0,F14,,,,B-CO-7=PASS,
F35|G|r1|112,F35,,,,B-TK-2=PASS;B-TK-5=PASS,
F15+F16|E|P1|r1|0,F15+F16,,,,B-CO-1=PASS;B-CO-2=FAIL;B-CO-3=PASS,
F03|C|r1|0,F03,,,,B-PR-6=FAIL,
F03|A|r1|16,F03,,,,B-PR-6=PASS,
F29|A|r1|96,F29,,,,B-BK-7=PASS,
F13|B|r1|0,F13,,,,B-CO-6=PASS,
F12|C|r1|0,F12,,,,B-CO-5=PASS;B-CO-6=PASS,
F07+F09|G|r1|25,F07+F09,,,,B-CO-4=PASS,
F36+F37|B|r1|0,F36+F37,,,,B-TK-3=PASS;B-TK-4=PASS,
F03|C|r1|0#repeat,F03,,,,B-PR-6=PASS,
F03|B|r1|0#repeat,F03,,,,B-PR-6=PASS,
F07+F09|B|r1|0,F07+F09,,,,B-CO-4=PASS,
F12|A|r1|33,F12,,,,B-CO-5=PASS;B-CO-6=PASS,
F25|A|r1|81,F25,,,,B-BK-1=PASS;B-BK-8=PASS,
F20+F21|D|P1|r1|0,F20+F21,,,,B-SE-1=PASS,
F35|B|r1|0,F35,,,,B-TK-2=PASS;B-TK-5=PASS,
F03|A|r1|16#repeat,F03,,,,B-PR-6=PASS,
F03|E|P1|r1|0#repeat,F03,,,,B-PR-6=PASS,
F07+F09|D|P1|r1|0,F07+F09,,,,B-CO-4=PASS,
F13|G|r1|41,F13,,,,B-CO-6=PASS,
F07+F09|E|P1|r1|0,F07+F09,,,,B-CO-4=PASS,
F18|G|r1|64,F18,,,,B-SE-3=FAIL,
F01|B|r1|1,F01,,,,B-PR-5=FAIL,
F35|A|r1|112,F35,,,,B-TK-2=PASS;B-TK-5=PASS,
F01|G|r1|1,F01,,,,B-PR-5=FAIL,
F31+F33|B|r1|0,F31+F33,,,,B-RV-3=PASS;B-RV-4=PASS;B-RV-6=PASS,
F31+F33|E|P1|r1|0,F31+F33,,,,B-RV-3=PASS;B-RV-4=PASS;B-RV-6=PASS,
F03|A|r1|17,F03,,,,B-PR-6=PASS,
F03|G|r1|16,F03,,,,B-PR-6=PASS,
F18|F|r1|1,F18,,,,B-SE-3=FAIL,
F04|F|r1|0,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F13|F|r1|1,F13,,,,B-CO-6=PASS,
F04|E|P1|r1|1,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F03|G|r1|16#repeat,F03,,,,B-PR-6=FAIL,
F03|E|P1|r1|1,F03,,,,B-PR-6=PASS,
F39|F|r1|0,F39,,,,B-CH-1=FAIL;B-CH-2=FAIL,
F12|B|r1|0,F12,,,,B-CO-5=PASS;B-CO-6=PASS,
F14|G|r1|48,F14,,,,B-CO-7=PASS,
F15+F16|B|r1|1,F15+F16,,,,B-CO-1=PASS;B-CO-2=PASS;B-CO-3=PASS,
F39|A|r1|128,F39,,,,B-CH-1=PASS;B-CH-2=PASS,
F29|E|P1|r1|0,F29,,,,B-BK-7=PASS,
F31+F33|C|r1|0,F31+F33,,,,B-RV-3=PASS;B-RV-4=PASS;B-RV-6=PASS,
F28|C|r1|4,F28,,,,B-BK-2=PASS;B-BK-3=PASS,
F18|B|r1|1,F18,,,,B-SE-3=PASS,
F20+F21|B|r1|1,F20+F21,,,,B-SE-1=PASS,
F28|E|P1|r1|1,F28,,,,B-BK-2=FAIL;B-BK-3=FAIL,
F03|F|r1|1,F03,,,,B-PR-6=FAIL,
F04|G|r1|8,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F29|D|P1|r1|0,F29,,,,B-BK-7=PASS,
F03|B|r1|0,F03,,,,B-PR-6=PASS,
